sym,fy,sales,sales_src,pat,pat_src,networth,networth_src,total_assets,total_assets_src,total_debt,total_debt_src,capex
PNBHOUSING,2009,,,53.407915244818255,legacy_rescaled,214.9744573247913,legacy_rescaled,2602.782851238783,legacy_rescaled,,,
PNBHOUSING,2010,,,66.74489744934607,legacy_rescaled,274.7356964266638,legacy_rescaled,3064.963357538025,legacy_rescaled,,,
PNBHOUSING,2011,,,69.35430701110151,legacy_rescaled,336.43697575373096,legacy_rescaled,3670.944021364271,legacy_rescaled,,,
PNBHOUSING,2012,,,77.45247461654942,legacy_rescaled,399.90829178110454,legacy_rescaled,4436.25485973,legacy_rescaled,,,
PNBHOUSING,2013,,,92.83899306690047,legacy_rescaled,618.0528148346933,legacy_rescaled,7655.088385826301,legacy_rescaled,,,
PNBHOUSING,2014,,,129.8506183451328,legacy_rescaled,934.1593690532658,legacy_rescaled,11539.592641136798,legacy_rescaled,,,
PNBHOUSING,2015,,,194.1660655128445,legacy_rescaled,1578.7627343925562,legacy_rescaled,19035.260852325027,legacy_rescaled,,,
PNBHOUSING,2016,,,326.4761273529652,legacy_rescaled,2145.9444944562947,legacy_rescaled,29670.982503309293,legacy_rescaled,,,
PNBHOUSING,2017,,,523.6115209878072,legacy_rescaled,5577.425643495055,legacy_rescaled,42959.5970604258,legacy_rescaled,,,
PNBHOUSING,2018,,,841.0,vistas,6568.0,vistas,63014.0,vistas,,,
PNBHOUSING,2019,,,1192.0,vistas,7543.0,vistas,83869.0,vistas,,,
PNBHOUSING,2020,,,646.0,vistas,7998.0,vistas,78930.0,vistas,,,
PNBHOUSING,2021,,,930.0,vistas,8923.0,vistas,71392.0,vistas,,,
PNBHOUSING,2022,,,836.0,vistas,9872.0,vistas,65730.0,vistas,,,
PNBHOUSING,2023,,,1046.0,vistas,11014.0,vistas,66874.0,vistas,,,
PNBHOUSING,2024,,,1508.0,vistas,14975.0,vistas,72405.0,vistas,,,
PNBHOUSING,2025,,,1936.0,vistas,16863.0,vistas,82520.0,vistas,,,
PNBHOUSING,2026,,,2291.0,vistas,19220.0,vistas,93512.0,vistas,,,
PNC,2015,1.0,vistas,-5.0,vistas,77.0,vistas,102.0,vistas,5.0,vistas,
PNC,2016,21.0,vistas,-1.0,vistas,76.0,vistas,106.0,vistas,1.0,vistas,
PNC,2017,2.0,vistas,-1.0,vistas,76.0,vistas,98.0,vistas,6.0,vistas,
PNC,2018,20.0,vistas,3.0,vistas,78.0,vistas,100.0,vistas,4.0,vistas,
PNC,2019,15.0,vistas,1.0,vistas,79.0,vistas,103.0,vistas,4.0,vistas,
PNC,2020,27.0,vistas,1.0,vistas,81.0,vistas,104.0,vistas,2.0,vistas,
PNC,2021,8.0,vistas,-5.0,vistas,76.0,vistas,94.0,vistas,2.0,vistas,
PNC,2022,45.0,vistas,-0.0,vistas,75.0,vistas,96.0,vistas,1.0,vistas,
PNC,2023,18.0,vistas,-4.0,vistas,72.0,vistas,92.0,vistas,2.0,vistas,
PNC,2024,58.0,vistas,2.0,vistas,74.0,vistas,99.0,vistas,1.0,vistas,
PNC,2025,34.0,vistas,-1.0,vistas,73.0,vistas,101.0,vistas,2.0,vistas,
PNC,2026,38.0,vistas,-13.0,vistas,60.0,vistas,70.0,vistas,1.0,vistas,
PNCINFRA,2003,71.53107503349761,legacy_rescaled,1.5082330193974924,legacy_rescaled,9.979752431720271,legacy_rescaled,30.029576777265145,legacy_rescaled,4.749804680929008,legacy_rescaled,-2.55
PNCINFRA,2004,110.86166612908633,legacy_rescaled,3.4679099357574996,legacy_rescaled,20.929480801192913,legacy_rescaled,44.06937890689561,legacy_rescaled,6.519731898875186,legacy_rescaled,-5.54
PNCINFRA,2005,112.09168461491328,legacy_rescaled,5.0582236636936315,legacy_rescaled,38.05905586686108,legacy_rescaled,73.34896625415912,legacy_rescaled,15.919345372713646,legacy_rescaled,-10.85
PNCINFRA,2006,150.7022648895301,legacy_rescaled,7.8284475768726995,legacy_rescaled,54.208655242841274,legacy_rescaled,177.3375006886514,legacy_rescaled,46.58808422831211,legacy_rescaled,-37.88
PNCINFRA,2007,255.04383302870446,legacy_rescaled,13.553576997442773,legacy_rescaled,67.41832754975759,legacy_rescaled,205.90709804218005,legacy_rescaled,63.56738601403307,legacy_rescaled,-13.26
PNCINFRA,2008,400.3360166106542,legacy_rescaled,23.32118131354082,legacy_rescaled,89.76777312580448,legacy_rescaled,207.9270695736511,legacy_rescaled,57.337642190414606,legacy_rescaled,-17.11
PNCINFRA,2009,501.5375375583679,legacy_rescaled,24.603692384457055,legacy_rescaled,123.9269257377849,legacy_rescaled,294.1858538829049,legacy_rescaled,102.7957728841057,legacy_rescaled,-43.82
PNCINFRA,2010,751.641296343182,legacy_rescaled,46.36534023576373,legacy_rescaled,193.91518953498948,legacy_rescaled,396.3144145309931,legacy_rescaled,94.25612404723545,legacy_rescaled,-19.21
PNCINFRA,2011,1139.1571202804205,legacy_rescaled,72.96974989085012,legacy_rescaled,415.0197045828521,legacy_rescaled,594.7016185550236,legacy_rescaled,103.58574039946022,legacy_rescaled,-41.06
PNCINFRA,2012,1273.3091364378886,legacy_rescaled,80.15181188798104,legacy_rescaled,493.4777582695027,legacy_rescaled,1042.2253113665279,legacy_rescaled,372.3646878072304,legacy_rescaled,-203.75
PNCINFRA,2013,1305.669622780458,legacy_rescaled,77.59704983471589,legacy_rescaled,587.9154155492283,legacy_rescaled,1421.9399598468183,legacy_rescaled,588.0658178542192,legacy_rescaled,-460.59000000000003
PNCINFRA,2014,1359.9804390123782,legacy_rescaled,56.67672924593027,legacy_rescaled,709.7123941247323,legacy_rescaled,2020.581522874117,legacy_rescaled,1024.997850555678,legacy_rescaled,-541.94
PNCINFRA,2015,1861.0,vistas,91.0,vistas,871.0,vistas,3097.0,vistas,1692.0,vistas,-986.2099999999999
PNCINFRA,2016,2837.0,vistas,209.0,vistas,1358.0,vistas,4835.0,vistas,1649.0,vistas,-201.71
PNCINFRA,2017,2252.0,vistas,118.0,vistas,1461.0,vistas,5219.0,vistas,1906.0,vistas,-206.69
PNCINFRA,2018,2411.0,vistas,243.0,vistas,1688.0,vistas,5902.0,vistas,2021.0,vistas,-131.7
PNCINFRA,2019,3774.0,vistas,351.0,vistas,2024.0,vistas,7254.0,vistas,2775.0,vistas,-283.31
PNCINFRA,2020,5603.0,vistas,550.0,vistas,2554.0,vistas,8490.0,vistas,3515.0,vistas,-89.26
PNCINFRA,2021,5788.0,vistas,497.0,vistas,3053.0,vistas,9575.0,vistas,4188.0,vistas,-183.86
PNCINFRA,2022,7208.0,vistas,580.0,vistas,3628.0,vistas,10645.0,vistas,4793.0,vistas,-60.14
PNCINFRA,2023,7956.0,vistas,658.0,vistas,4285.0,vistas,12632.0,vistas,6282.0,vistas,-56.120000000000005
PNCINFRA,2024,8650.0,vistas,909.0,vistas,5185.0,vistas,15610.0,vistas,8025.0,vistas,-46.48
PNCINFRA,2025,6769.0,vistas,815.0,vistas,5989.0,vistas,18059.0,vistas,9364.0,vistas,-29.800000000000004
PNCINFRA,2026,5368.0,vistas,832.0,vistas,6813.0,vistas,13858.0,vistas,5170.0,vistas,
PNGJL,2017,2199.6715437228154,legacy_rescaled,11.10467706013363,legacy_rescaled,129.23602118893467,legacy_rescaled,791.9037218872982,legacy_rescaled,422.76307398909387,legacy_rescaled,-59.52
PNGJL,2018,2273.128515717562,legacy_rescaled,21.86859688195991,legacy_rescaled,151.07886992348443,legacy_rescaled,815.4211596564484,legacy_rescaled,410.25108018713314,legacy_rescaled,-25.63
