code,hold_name,best,best_name,te,ratio,n,name_agree
2678,Bandhan Flexi Cap Fund (G),118424,BANDHAN Flexi Cap Fund-Direct Plan-Growth,0.00452,2.11,151,True
2691,Canara Robeco Infrastructure (G),118267,CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - GROWTH OPTION,0.00395,3.32,151,True
2693,Sundaram Focused Fund (G),149533,Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund)- Direct Plan - Growth Option,0.00442,2.2,151,True
2707,Kotak ELSS Tax Saver Fund (G),119773,Kotak ELSS Tax Saver Fund-Growth - Direct,0.00335,2.52,151,True
271,Franklin India Technology Fund - (G),118537,Franklin India Technology Fund - Direct - Growth,0.0125,1.26,151,True
273,Franklin India Opportunities Fund - (G),118539,Franklin India Opportunities Fund - Direct - Growth,0.00534,2.73,151,True
2768,ICICI Pru Exports and Services Fund (G),120688,ICICI Prudential Exports & Services Fund - Direct Plan - Growth,0.00648,1.77,151,True
2770,Baroda BNP Paribas ELSS Tax Saver Fund - Regular (G),150159,BARODA BNP PARIBAS ELSS Tax Saver Fund - Direct Plan - Growth Option,0.0047,1.45,151,True
2772,Franklin India Small Cap Fund (G),118525,Franklin India Small Cap Fund - Direct - Growth,0.00463,2.97,151,True
27789,HSBC Business Cycles Fund (G),151142,HSBC Business Cycles Fund - Direct Growth,0.00211,7.53,135,True
2781,SBI Multi Asset Allocation Fund (G),151810,Mirae Asset Multicap Fund - Direct Plan - Growth,0.01401,1.13,151,False
279,ICICI Pru FMCG Fund - (G),120587,ICICI Prudential FMCG Fund - Direct Plan -  Growth,0.00471,4.59,151,True
281,ICICI Pru Equity & Debt Fund - (G),150187,BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - Growth Option,0.01141,1.13,151,False
283,ICICI Pru Technology Fund (G),120594,ICICI Prudential Technology Fund - Direct Plan -  Growth,0.00543,1.7,151,True
28400,Bandhan Balanced Advantage Fund (G),150797,WhiteOak Capital Large Cap Fund Direct Plan Growth,0.00705,1.25,133,False
28408,Kotak Equity Savings Fund (G),151755,Baroda BNP Paribas Value Fund - Direct Plan - Growth option,0.01229,1.16,133,False
28437,Edelweiss Equity Savings Fund (G),151755,Baroda BNP Paribas Value Fund - Direct Plan - Growth option,0.01268,1.04,133,False
2852,SBI Large Cap Fund (G),119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,0.0029,2.62,151,True
28637,Tata ELSS Fund (G),132756,Tata ELSS Fund-Growth-Direct Plan,0.00315,2.86,133,True
28657,360 ONE Focused Fund (G),131580,360 ONE Focused Fund-Direct Plan-Growth,0.00689,1.53,133,True
2866,HSBC ELSS Tax Saver Fund (G),151078,HSBC ELSS Tax saver Fund - Direct Growth,0.0021,5.32,151,True
28845,SBI Long Term Advantage Fund - Series I (G),150387,Baroda BNP Paribas Flexi Cap Fund - Direct Plan - Growth Option,0.01433,1.03,119,False
28891,Aditya Birla SL Equity Savings Fund (G),149104,Mahindra Manulife Flexi Cap Fund - Direct Plan -Growth,0.01354,1.07,131,False
28903,Kotak Aggressive Hybrid Fund (G),151368,Axis Business Cycles Fund - Direct Plan - Growth,0.00983,1.08,133,False
28984,ICICI Pru Equity Savings Fund - Reg (G),151471,NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - DIRECT PLAN GROWTH,0.01036,1.03,131,False
29326,Sundaram LT Tax Advantage Fund - Sr.I (G),151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,0.00743,1.24,119,False
2933,Bandhan Focused Fund (G),118421,Bandhan Focused Fund - Direct Plan - Growth,0.00593,2.4,151,True
29348,SBI Long Term Advantage Fund - Series II (G),150387,Baroda BNP Paribas Flexi Cap Fund - Direct Plan - Growth Option,0.01372,1.0,119,False
2939,Aditya Birla SL Infrastructure Fund - (G),119514,Aditya Birla Sun Life Infrastructure Fund - Growth - Direct Plan,0.00381,3.82,151,True
29396,Motilal Oswal ELSS Tax Saver Fund (G),133386,Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth Option,0.00428,1.87,130,True
29449,Aditya Birla SL Manufacturing Equity Fund (G),133516,Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan - Growth,0.00372,3.51,129,True
29517,Edelweiss Flexi Cap Fund (G),140353,Edelweiss Flexi Cap Fund - Direct Plan - Growth Option,0.00464,1.37,129,True
29542,Nippon India Retirement Fund-WC (G),151368,Axis Business Cycles Fund - Direct Plan - Growth,0.00949,1.03,129,False
29548,Nippon India Retirement Fund-IG (G),149570,Sundaram ELSS Tax Saver Fund Direct Plan Growth,0.01034,1.07,129,False
29655,LIC MF Large & Mid Cap Fund - Regular (G),133710,LIC MF Large & Mid Cap Fund-Direct Plan-Growth,0.00707,1.27,129,True
2970,Quantum Value Fund - Direct (G),111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,0.00608,1.05,151,False
29734,PGIM India Flexi Cap Fund (G),133839,PGIM India Flexi Cap Fund - Direct Plan - Growth Option,0.00591,1.7,128,True
29738,SBI Banking & Financial Services Fund (G),133859,SBI BANKING & FINANCIAL SERVICES FUND - DIRECT PLAN - GROWTH,0.0043,2.61,129,True
29974,LIC MF Banking & Fina Serv Fund (G),134017,LIC MF Banking and Financial Services Fund-Direct Plan-Growth,0.00524,2.24,127,True
3046,Baroda BNP Paribas Mid Cap Fund - Regular (G),150212,BARODA BNP PARIBAS Mid Cap Fund - Direct Plan - Growth Option,0.00381,2.58,151,True
30520,Nippon India Equity Savings Fund (G),151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,0.01144,1.01,125,False
30575,SBI Equity Savings Fund (G),151810,Mirae Asset Multicap Fund - Direct Plan - Growth,0.00934,1.14,126,False
